class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
0,qid:68,0,0,0,1,2,2,0,1,1,2,3,17,4,6,3,1.8,3
1,qid:68,1,0,0,2,0,2,0,0,0,1,4,10,0,4,2,1.5,2
1,qid:69,0,1,0,0,3,3,0,0,0,0,5,12,0,4,1,2,3
0,qid:69,0,0,1,0,2,2,0,0,0,0,7,16,3,8,2,1.3,2
0,qid:70,1,0,1,0,2,5,0,2,0,0,8,22,3,12,4,1.9,2
1,qid:70,3,1,0,3,1,1,0,0,0,0,10,24,5,9,3,1.2,2
0,qid:71,2,0,1,2,0,1,0,1,0,1,6,18,2,7,2,1.6,2
1,qid:71,3,0,0,1,0,1,0,0,1,0,6,18,4,9,2,3.2,4
0,qid:72,3,0,0,1,0,0,0,1,0,0,9,19,4,7,1,2,3
1,qid:72,0,0,0,1,1,3,0,0,0,1,7,16,3,7,2,1.1,2
1,qid:73,0,0,1,1,2,6,0,0,0,2,8,21,1,9,3,2.4,4
0,qid:73,0,0,1,0,1,4,0,0,0,2,9,23,4,9,3,2,3
1,qid:74,2,1,0,0,1,1,0,0,1,1,4,12,1,5,0,1.8,3
0,qid:74,0,0,0,1,1,9,1,0,1,0,7,22,2,12,4,1.4,2
1,qid:75,0,0,0,0,1,6,0,0,0,3,3,13,0,6,2,1.8,3
0,qid:75,3,0,0,1,0,3,0,0,0,4,5,18,1,6,3,1.2,2
0,qid:76,0,0,0,1,0,4,0,0,1,0,4,11,1,5,1,2,3
1,qid:76,0,0,0,0,0,1,0,0,0,0,5,9,3,2,0,1,1
0,qid:77,0,0,0,2,0,4,1,0,0,2,9,23,5,13,3,2.7,4
1,qid:77,0,0,1,1,0,4,0,0,0,3,8,22,5,8,3,1.5,2
0,qid:78,0,0,0,1,1,1,0,0,0,2,4,9,0,2,2,1,1
1,qid:78,1,0,0,0,1,0,0,0,0,0,4,10,4,4,0,1.8,3
1,qid:79,0,0,0,1,0,1,0,0,0,1,4,13,5,4,3,2.3,3
0,qid:79,1,2,1,1,1,1,0,0,0,0,9,23,6,9,4,1.3,2
0,qid:80,0,1,0,1,4,3,0,1,0,1,6,19,2,8,5,1.8,3
1,qid:80,0,0,1,1,1,1,0,1,0,0,4,11,2,6,1,1.7,2
1,qid:81,0,0,1,1,0,3,0,0,0,1,6,17,5,8,2,1.9,3
0,qid:81,1,1,1,2,1,1,0,0,0,1,9,23,6,9,2,2.1,4
1,qid:82,0,0,1,0,4,5,0,0,0,0,10,20,0,8,3,2.5,4
0,qid:82,1,0,1,1,3,1,0,0,1,0,6,16,2,6,3,2.2,3
0,qid:83,0,0,0,0,1,3,0,0,0,0,9,20,5,7,0,1.6,3
1,qid:83,1,1,1,1,0,2,0,0,0,0,8,18,4,6,0,1.8,3
1,qid:84,0,0,0,0,2,8,0,1,0,6,4,21,0,12,3,1.4,2
0,qid:84,1,1,1,0,0,2,1,0,0,1,5,15,3,7,1,2.9,4
1,qid:85,0,1,0,0,0,1,0,0,0,0,5,11,4,4,1,1.3,2
0,qid:85,0,1,1,1,0,1,0,0,0,0,6,21,11,10,3,1.8,3
1,qid:86,0,0,0,0,1,1,0,0,0,0,5,15,8,5,1,1.6,2
0,qid:86,1,3,0,0,1,2,0,1,0,1,6,22,7,11,3,2.3,2
0,qid:87,2,0,0,2,2,0,0,0,2,0,5,21,8,9,2,2.2,3
1,qid:87,0,0,0,1,1,1,0,0,1,1,7,20,8,9,1,2.9,4
0,qid:88,3,1,0,0,0,4,0,0,1,0,5,19,5,6,1,2.3,4
1,qid:88,0,0,0,1,0,0,0,0,0,0,3,7,2,3,1,2,3
1,qid:89,0,0,1,2,1,1,0,0,0,0,5,11,1,4,3,2,3
0,qid:89,2,1,0,1,1,2,0,0,1,0,6,20,6,9,2,1.7,2
0,qid:90,1,0,0,0,2,2,0,1,0,0,6,14,2,7,0,1.9,4
1,qid:90,0,0,4,0,1,1,0,0,0,1,9,23,7,9,2,1.6,3
0,qid:91,2,1,3,1,1,1,0,1,0,1,7,22,4,10,4,1.8,4
