class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
0,qid:1239,0,1,1,0,2,1,0,0,1,0,6,15,2,6,1,2.3,4
0,qid:1240,0,1,0,2,0,2,0,0,0,3,6,21,4,9,2,1.8,2
1,qid:1240,0,0,0,0,1,1,0,1,0,0,6,13,3,4,1,1.8,3
0,qid:1241,0,0,1,1,0,3,0,0,0,1,7,18,3,8,2,2.4,4
1,qid:1241,0,0,0,1,0,4,0,0,0,1,4,11,0,3,1,2,3
0,qid:1242,0,0,1,1,1,3,0,2,0,1,5,17,1,8,3,2.9,3
1,qid:1242,1,1,0,0,1,4,0,1,0,1,8,20,3,8,4,1.5,2
1,qid:1243,0,1,0,0,0,2,0,0,0,2,6,14,1,5,2,1.2,2
0,qid:1243,1,0,0,2,1,3,0,0,0,1,6,16,2,5,1,2.6,4
1,qid:1244,0,1,0,2,1,4,0,0,0,0,10,22,2,10,3,2.5,4
0,qid:1244,2,1,1,0,1,1,0,0,0,2,6,17,1,8,1,3,4
0,qid:1245,1,0,0,2,0,1,0,1,0,0,7,17,4,7,2,1.6,2
1,qid:1245,1,0,1,2,2,4,0,0,0,0,9,21,2,9,2,1.9,3
0,qid:1246,5,0,1,0,2,3,0,0,0,1,7,22,2,7,5,2.1,4
1,qid:1246,1,0,0,0,2,1,0,0,0,1,4,11,2,4,1,1.8,2
0,qid:1247,0,0,0,1,0,2,0,1,0,0,5,12,3,5,1,1.6,2
1,qid:1247,0,0,0,0,2,1,0,0,0,0,3,7,1,2,1,1.5,2
0,qid:1248,0,0,1,0,1,1,0,1,0,0,4,8,0,2,1,1.5,2
1,qid:1248,0,0,0,0,1,2,0,0,0,3,2,10,2,3,1,1.7,2
1,qid:1249,1,0,0,2,1,5,0,2,0,0,8,21,1,10,2,2.5,3
0,qid:1249,1,0,0,0,2,3,0,1,0,0,11,21,3,8,4,2,3
1,qid:1250,1,0,1,2,1,2,0,0,0,2,6,18,3,7,1,2,4
0,qid:1250,0,2,1,0,2,4,0,0,0,1,8,20,2,8,4,2.3,3
1,qid:1251,2,0,0,1,1,3,0,0,0,0,7,14,0,5,1,2.2,3
0,qid:1251,2,0,0,0,2,1,0,0,0,3,6,15,0,6,2,1.5,3
0,qid:1252,2,0,1,1,0,2,0,0,0,2,4,12,0,5,2,1.8,2
1,qid:1252,0,0,1,1,3,3,1,0,0,0,6,16,1,8,1,2.3,3
1,qid:1253,0,1,0,1,3,4,0,0,1,3,4,18,1,8,1,2.1,4
0,qid:1253,1,0,1,3,0,6,0,0,0,1,6,20,2,10,2,3.1,4
1,qid:1254,0,0,0,0,3,5,0,0,1,1,7,19,2,9,1,1.7,3
0,qid:1254,0,1,1,1,1,3,0,1,0,0,9,18,1,7,1,2.4,4
1,qid:1255,2,0,0,0,0,5,0,0,0,2,3,14,2,6,2,1.3,2
0,qid:1255,0,0,0,0,1,2,0,0,0,1,5,13,4,5,2,2,2
1,qid:1256,0,1,0,1,0,2,0,0,1,1,3,10,1,4,2,1.5,2
0,qid:1256,2,0,0,0,0,8,0,0,0,0,5,22,4,8,2,2,4
1,qid:1257,0,0,0,0,1,5,0,0,0,0,3,9,0,2,0,1,1
0,qid:1257,0,1,2,2,1,1,0,0,0,2,7,21,5,8,1,2.1,3
0,qid:1258,0,0,0,1,1,4,1,0,0,0,5,15,2,4,3,1.3,2
1,qid:1258,1,0,0,1,0,1,0,0,0,1,6,12,1,3,1,1.3,2
0,qid:1259,0,0,0,2,1,6,0,0,0,3,7,21,1,9,3,2.3,3
1,qid:1259,2,1,0,1,1,1,0,0,0,0,4,11,1,5,1,1.8,3
1,qid:1260,1,0,0,2,1,4,0,0,0,0,2,13,1,3,2,1.3,2
0,qid:1260,1,0,2,2,0,1,0,0,0,0,5,12,0,4,0,1.8,3
0,qid:1261,1,0,1,0,2,2,0,0,1,0,3,11,0,3,0,1,1
1,qid:1261,1,0,3,0,1,6,0,0,1,0,5,20,1,5,1,1.4,2
1,qid:1262,0,0,0,0,0,2,0,0,0,0,3,6,1,2,1,1.5,2
0,qid:1262,1,0,0,2,0,1,0,0,0,1,4,10,1,3,0,1.3,2
0,qid:1263,1,0,0,1,1,5,0,0,1,2,8,21,2,10,3,1.3,2
1,qid:1263,0,0,0,1,0,5,0,1,0,2,6,19,4,9,3,1.7,3
1,qid:1264,1,0,0,0,0,1,1,0,0,0,1,6,1,3,1,1.3,2
0,qid:1264,0,0,0,2,0,4,0,1,0,3,4,16,1,9,4,1.6,3
1,qid:1265,0,0,0,1,1,1,0,0,0,1,1,5,0,1,1,1,1
0,qid:1265,1,0,0,0,1,3,0,0,0,2,5,14,1,5,1,2.4,3
1,qid:1266,0,0,0,0,0,2,0,0,0,1,2,7,1,1,1,1,1
0,qid:1266,0,0,1,2,0,4,0,2,0,2,2,17,2,7,1,2.6,4
1,qid:1267,0,0,0,0,1,4,0,0,0,3,5,18,2,6,2,1.7,2
0,qid:1267,0,0,1,1,0,7,0,0,1,1,6,22,2,9,2,1.9,3
0,qid:1268,0,1,1,1,1,1,0,0,0,0,5,13,0,5,2,1.8,3
1,qid:1268,1,0,0,0,1,3,0,1,0,0,3,9,0,6,0,2.2,3
0,qid:1269,1,1,2,0,1,2,0,0,0,1,8,19,2,8,2,2.3,4
1,qid:1269,0,0,0,0,0,3,0,0,1,0,4,10,2,4,1,1.8,3
0,qid:1270,1,0,1,0,2,3,0,0,0,2,7,19,2,9,0,3.2,4
1,qid:1270,1,1,0,0,1,2,0,0,0,0,5,13,2,6,0,1.3,2
0,qid:1271,0,0,0,2,1,3,0,0,0,3,3,13,1,5,1,2,3
1,qid:1271,0,1,0,0,0,1,0,0,0,0,5,10,1,3,1,1.7,2
1,qid:1272,0,0,1,1,1,2,0,0,0,1,4,11,1,5,0,2.4,3
